"Category","Reviewer","Question","Answer"
"referral","","How do I turn off the referral program pop-up on the website?","To turn off the referral program pop-up, you can access the settings in your Joy Loyalty app. Our support team can also assist with this, as Hana did by turning it off for you."
"other","","What is the difference between a guest and a member?","Members are customers who have logged in or signed up for an account, while guests are those who have not created an account."
"vip","","Can I change the milestone to achieve VIP status to a higher point while allowing current members to keep their tier?","Unfortunately, if you change the milestone for VIP status, the customer's tier will be automatically updated based on your changes, meaning they may be demoted if they do not meet the new requirement."
"bug","","Why is our streak bonus not working as intended?","The streak bonus program is designed to reward customers with points for consecutive days. If the rewards are not aligning with your settings, please confirm if any settings were changed recently. Our technical team is currently investigating the issue affecting all customers."
"other","","Is there a way to get updates on the app when you release new features?","You can request updates on new features, and your input will be forwarded to the development team for consideration."
"widget","","Where can I translate sections in the new version?","You can translate sections in the new version through the Joy Loyalty app. The texts 'My Coupons' and 'Revoke' have been translated, and you can refresh your page to see if the updates are reflected. If you encounter any specific texts that need fixing, please let us know, and we can assist with those translations."
"other","","Can we change a customer's email without losing loyalty points?","Yes, changing a customer's email will not affect their loyalty data, as long as it remains associated with the same profile in the Shopify Customers section."
"rewards","","Why don't the Free Products show up in Shopify POS for the Member Exclusive Deal?","The Free Products tab in Shopify POS is related to the rewards redeeming feature, not the Member Exclusive Deal. Free products from the Redeem Program are shown with a 'Redeem' button, while the Member Exclusive Deal applies an automated discount at checkout. They cannot be displayed together due to their different functionalities."
"rewards","","What does 'Apply to selected products' mean in the context of the Free Product discount?","'Apply to selected products' means that only specific products you designate are eligible for the Free Product discount when certain conditions, like a minimum spend, are met. Ensure the products you want to offer as free gifts are included in the eligible list for the promotion."
"points","","Why are customers not receiving Joy points for their orders?","Customers may not receive points if their orders are pending fulfillment, as points are only issued once the order is fulfilled. Additionally, if multiple earning programs exist, the system will calculate points based on the program with the highest priority. If a program has expired or if certain products are excluded from earning points, this can also affect the total points awarded."
"points","","How can we ensure points are allocated based on the bundle that is placed, and not from the single item?","To ensure points are awarded correctly for bundles, the bundle itself should be processed as a main line item in the order. Currently, the Joy Loyalty app can only detect and apply rules based on products that are directly listed and priced within the Shopify order, not those mentioned only in the 'Part of...' metadata."
"points","","What was wrong with the point calculator display?","The point calculator display issue was due to a technical problem on our side, which has since been resolved. You can re-check the results on your end to ensure it is functioning correctly now."
"referral","","How can users get their own referral link to share and promote products?","Once customers log into their account on the store, they can open the Joy widget > Referral program block > Copy their unique referral link. You can also choose the platforms members can share the link to right from the widget."
"widget","","Can we edit the widget style?","Yes, you can access the Onsite section > Loyalty widget > Customize the color and configure other features there."
"referral","","Can we send personalized referral codes to users in bulk via email?","Currently, we can assist you in sending an email to the referee once they get the reward from your referral program, including their coupon. However, we do not support syncing customer properties to the Shopify Mail app yet."
"referral","","Is there a specific link we can use, so that users receive a unified email and, after clicking the link, are directed to a page where they can obtain their unique referral code or link?","You can insert the Homepage URL of the store or Loyalty page URL in the email. Ensure you have added the 'Referral program' block there, and guide customers to log in to their account to access the Joy widget and get their referral link."
"widget","","How can I set it so that the widget pops up by default?","You can access the Onsite section in the app > Loyalty widget > Advanced settings > Turn on the feature 'Instant popup', so the widget will open up automatically when customers visit your store."
"widget","","Can I customize the color scheme and fonts on the membership panel?","Yes, you can customize the color scheme and fonts on the membership panel. Access the Onsite section > Loyalty widget > Membership card to adjust the color. Then, navigate to the Display tab to change the text font."
"integration","","Are there any benefits to using this app with the Avada SEO Suite app?","The Joy Loyalty app and Avada SEO Suite app work separately with different features and purposes, so there is no direct connection between them. However, using the Avada SEO Suite can enhance the overall performance of your site, including the loyalty page, by improving site speed and SEO."
"other","","Is it possible to bulk-upload existing membership points using an Excel file?","Yes, you can bulk-upload existing membership points using an Excel file. Go to the Customers section in the app > Import > Choose to add points or reset customer point balance > Download the sample file > Prepare your data and then upload it to the app."
"widget","","Can I replace the loyalty widget with a dedicated loyalty page on my website?","Yes, we currently offer a feature that allows you to create a dedicated loyalty page where customers can interact with your loyalty program instead of using the widget. However, this feature is only available on our paid plans."
"integration","","Can you integrate subscriptions with the loyalty program for automation?","Yes, our app can help you create a loyalty program that includes earning, redeeming, and referral programs. Additionally, you can set up email notifications to inform customers about their points, redemptions, and other reward-related activities. For subscription automation, please check the app settings under Subscriptions for available paid plans."
"vip","","What payment tier do I need to implement VIP Tiers and a birthday month point earning program?","To use VIP Tiers and set up the point earning program that gives customers more points during their birthday month, you will need the Advanced plan."
"birthday","","How should the Shopify metafield for customer birthdays be defined if the year is missing?","The default format for Shopify metafields is MM-DD-YYYY. However, the Joy app currently only syncs the day and month, as the year is not required for its functionality. If you have existing customers with only the month and day, you may need to clarify your use case for requiring the year, as Shopify does not allow leaving the year empty."
"birthday","","Will syncing the Shopify metafield overwrite existing birthday data in the Joy app?","Yes, if you click 'Trigger sync metafield' in the Joy app, it will sync the birthday metafield from Shopify and overwrite the existing birthday information in the Joy dashboard."
"billing","","How do I make it to where my customers can use a discount code and their rewards points together when completing their purchase?","To allow customers to stack a discount code with their rewards points, you need to enable the combination condition for both discount codes in the Joy Loyalty app. Go to Reward Programs > Redeeming Programs > Edit the programs to check and enable the combination condition."
"widget","","Can I add a text at the top of every page on my website?","You can add a hero banner to all pages using the 'Joy: Loyalty Hero Banner' block. This allows you to customize it as needed. Please try this setup and let us know if it meets your requirements."
"billing","","Can I switch my trial to explore more features of a better plan?","Yes, you can switch your plan. To try other paid plans, go to App Settings > Subscription > All plans to change your plan."
"birthday","","Where can I find the birthday gift option?","To set up the Birthday reward, go to the app's Reward programs section > Add program > Birthday program."
"vip","","How can I exclude a product from my VIP tier discount?","To exclude a product from your VIP tier discount, you need to add the product's collection to the exclude list in your tier discount settings. If it hasn't been added yet, our support team can assist you with this. After making changes, remember to click the Save button at the top of the page to ensure your settings are updated."
"bug","","Why is the discount still applying to a product that I excluded?","It appears that the collection you wanted to exclude had not been added to the exclude list in the tier discount settings. Our support team can help you add it to the exclude list to prevent the discount from applying."
"billing","","Is there a setting missing for the generated discount codes from the loyalty app?","Yes, you need to enable discount combination settings for each redeem program in the Joy Loyalty app. After changing the settings, you may need to revoke the current discounts and generate new ones to test if they can be combined with other discounts."
"points","","Is it possible to block points from being accrued from customers with a certain tag?","Yes, you can block points from being accrued by creating a segment with the specific tag and then blocking that segment in the Joy Loyalty app under Settings > Pre-launch."
"referral","","Is there a way for referrals to get rewarded for actually signing up, and not just going to the website?","Currently, the requirement for referrals is only to access the website. They will need to make an order to use the referral code. To increase sign-up rates, consider requiring customers to sign in before checking out."
"points","","How do customers earn points when making purchases at the POS?","Once a customer places an order successfully and has an account, points will be added to their account automatically. If they do not have an account, points will be added to a Guest account under their email, and they will need to register using that email to activate the points."
"points","","Will customers automatically begin accruing points once the loyalty program is live?","Yes, once the program is live and the Place Order program is enabled, customers will earn 10 sprinkles for every 1 CAD they spend."
"vip","","How can we update VIP tier earned amounts to match customer points?","You can adjust the VIP tier earned amount to match the points balance for customers whose VIP tier earned is higher than their points. The support team will help with this adjustment, ensuring that only the necessary updates are made while leaving any negative balances untouched."
"widget","","Can we display the total VIP Points earned in the cart drawer?","Yes, you can display the total VIP Points earned based on the items in the cart. The Point Calculator setting allows for this functionality, and the support team will check if it can be integrated into your specific cart drawer app, HS - Slide Cart Drawer."
"notifications","","Can I send my customers their loyalty points balance on a weekly or monthly basis?","Currently, Joy does not support sending automatic point balance emails on a recurring weekly or monthly basis. The system only sends notifications when there is a trigger, such as earning points, redeeming rewards, or changes in VIP status. You can refer to the guideline for more details on available triggers for notifications."
"integration","","How can I prevent auto-triggering of points emails for customers who sign up for our newsletter?","To prevent the auto-triggering of points emails for customers who sign up for your newsletter, you can create a Flow in Shopify that rewards only those customers who actively join your loyalty program through your widget. This way, only engaged customers will receive the signup reward, avoiding unintended emails to all enabled Shopify customers. If you need assistance setting up this Flow, please let us know."
"bug","","What is causing the 'NEW-JoyHive Core' tag to trigger points emails for customers?","The 'NEW-JoyHive Core' tag is responsible for triggering points emails as soon as customers sign up for your newsletter. It has been identified that this tag originates from your Tier settings. To stop this behavior, you can disable the tag or adjust your settings accordingly."
"rewards","","How can I add a product that clients can earn when they have 1000 points?","To add a product to your redeem program, ensure that the product has an image associated with it in your theme. This is necessary for the app to retrieve and store the product image correctly. Once you add the product image, you should be able to save the redeem program successfully."
"migration","","How can I migrate points from another app to Joy Loyalty?","You can migrate points by providing a file with the necessary data. Once you share the file, our support team will import it to your current store and notify you via email once the import is complete."
"bug","","What actions are being taken to prevent exploitation of the loyalty program?","Our team has reviewed the case and confirmed that the exploit occurred with a single customer account. We have implemented a permanent fix for the bug that allowed this exploit, and additional safeguards are now in place to prevent similar issues in the future."
"billing","","What compensation is being offered for the financial losses caused by the exploit?","We acknowledge the financial loss of $222 from fraudulent redemptions and the time your team invested in managing this incident. We are offering a 50% discount on your current subscription for the next 18 months, totaling approximately $261 in savings."
"bug","","How can I ensure that my other store is secure from similar issues?","We have thoroughly reviewed your other store, Blippo.com, and confirmed that it was not affected by the exploit. We recommend continuing to monitor your stores and report any suspicious activity to us for further investigation."
"migration","","Is it possible to move our customer points to a new store easily?","Yes, we can export all the customer data, including points balance, to a CSV file for you. You can then import this file into your new store following the import file format. Alternatively, you can contact our team to assist with the import or migration."
"integration","","How can I integrate Joy Rewards with Judge.me if I'm encountering a page not found error?","To integrate Joy Rewards with Judge.me, try reloading the Judge.me integration page within Joy and attempt to connect again. If the issue persists, please grant access to your Apps section so we can assist you in connecting them."
"widget","","How do I update the loyalty widget and can I preview it before publishing?","To update the loyalty widget, go to Onsite content > Loyalty widget > Setup. You can preview the widget before publishing to see how it looks. Once published, you can still make changes to the widget."
"billing","","Can I purchase only a month of the Essentials plan to test it, or do I need to purchase a year?","Yes, you can upgrade to the Essentials plan and start with a free trial. If you downgrade to the free plan before the trial ends, there will be no charge."
"billing","","Is it possible to try your Essentials plan on my development store?","Yes, I can report your free trial request to our team and enable the trial for your development store. The free trial will last for 14 days."
"billing","","Is there a way the customer can redeem the points to be added as store credit rather than a discount code?","Unfortunately, it's not possible to add store credit directly when customers redeem points. As an alternative, you could use Shopify Flow to automatically add store credit to customers after they place an order. Additionally, you might consider enabling the reward reminder widget to notify customers when they have unused rewards or enough points to redeem."
"other","","Is there a way I can export a spreadsheet of customers from POS with their points balance?","Currently, exporting customers directly from the POS is not available. However, we can export all customers to a file and help you filter out those without an email address, which typically includes customers who ordered from the POS."
"integration","","Is it possible to set the conversion rate for each currency to 1 point in the loyalty app?","Unfortunately, our application currently does not support a currency converter with a conversion rate of 1 to 1 points for markets. Our app is designed to support the primary currency set on Shopify and converts currency according to Shopify's established conversion rates."
"billing","","Why did my subscription plan increase to $99/month?","The Advanced plan is now priced at $99/month. This change was applied to your account because you closed and reopened your store, which triggered the updated pricing."
"billing","","How can I revert to my old subscription plan to avoid paying more?","Your request to revert to the old plan has been escalated to our management team for further review. We will keep you updated on any details regarding this inquiry."
"billing","","Will I be charged the full amount after downgrading my subscription?","When you change your plan (upgrade or downgrade), Shopify automatically calculates the unused time remaining in your current billing cycle and converts that value into a prorated credit, so you will not be charged the full amount."
"integration","","Is there a way to delete duplicate JOT metrics in Klaviyo?","Currently, we haven't been able to remove the duplicates in Klaviyo due to old customers still using the previous version triggers. It's advisable to use the metrics that begin with 'Klaviyo Joy' to avoid confusion."
"integration","","Is there a recommended Klaviyo flow to send a monthly points statement to customers?","At the moment, we do not have a variable that can display points earned for a specific month in Klaviyo. The only available variable is {{ person|lookup:'Joy Loyalty Points'|default:'' }}, which shows the total points balance only."
"bug","","How can I check if a customer is cheating our rewards system?","We have escalated your concern regarding the customer who has visited your website for an unusually high number of days to our development team for further investigation. We will update you as soon as we have more information."
"bug","","How can I check if loyalty data is updating in Klaviyo?","If Klaviyo is highlighting an issue and you suspect that loyalty data is not updating, please check the triggers set in your flows. If no entries have been made since a specific date, it may indicate that the trigger conditions are not being met."
"referral","","Can store credits for referrers be automatically deducted when a referral order is cancelled or refunded?","Currently, there is no function for automatically deducting store credits when a referral order is cancelled or refunded. However, this has been reported as a feature request. As of the latest update, the system now supports point/store credit deductions for the referrer whenever a referee refunds or cancels their order. You can enable this function in the Referral program settings."
"referral","","Do notification emails support store credits for referrers?","The notification emails have not yet been updated to support store credits for referrers, as it is a new reward option. This will be checked with the team for future updates."
"widget","","How can I restore the point calculator on the product page after updating my theme?","To restore the point calculator on the product page, please grant access to your theme by sharing your collaborator request code with our support team. Once access is granted, we can assist you in placing the Point Calculator block back between the price and the short text as it was before the theme update."
"bug","","Why is the point calculator not displaying on the product page?","The point calculator was not displaying due to a conflict with the script of the Avada SEO Suite app. After commenting out the problematic file, the point calculator is now visible again. Please contact the SEO team regarding the issue with the Avada SEO Suite app."
"integration","","Why are events not being tracked in Klaviyo after the recent update?","There was a recent update that introduced a new metric for the integration with Klaviyo, which may have affected event tracking. Our team is investigating this issue further. Please provide additional details or a screenshot of the Activity Feed or metric details in Klaviyo to assist in resolving the problem."
"integration","","Will we have daily syncs with Klaviyo again?","Typically, synchronization occurs automatically. However, we performed a manual synchronization to check if the issue has been resolved. Please verify if the Joy data has been synced to Klaviyo properly."
"widget","","How can I show cashback in the cart drawer?","To show cashback in the cart drawer, you need to set store credit as the reward in your Place Order program. You can use the Point Calculator block to display the number of points or credits customers can earn, but this feature is only available on paid plans. Consider upgrading your plan to access this functionality and other features for your loyalty setup."
"vip","","Can the admin help customers to redeem a coupon for multiple customers at the same time?","Currently, we do not have a feature that allows admins to redeem a coupon for multiple customers at once. You will need to go to each customer profile and redeem the coupon individually, or create a coupon in Shopify Discounts that all customers can use."
"other","","Is there an app to do push notifications for Apple Wallet?","We do not integrate or work with any app to set up external push notifications for the loyalty program in Apple Wallet."
"other","","Can I create more push notifications for Apple Wallet?","You can access the Customers section in the app, go to More actions > Digital loyalty pass > Apple wallet > Notifications tab, and turn on the desired triggers. However, we currently do not support additional notifications specifically for coupon expiration reminders."
"other","","Is there translation available for Apple Wallet notifications?","Unfortunately, we do not support translating Apple Wallet notifications yet. You can adjust the text directly in the notification settings."
"billing","","Why was I charged after canceling my subscription, and is a refund possible?","It seems there may have been an issue with the cancellation process. To assist with your refund request, please provide a screenshot of the app billing from your Shopify admin. Our team will review your case and get back to you with an update."
"migration","","How can we migrate our customer data from Smile.io to Joy while keeping the rewards points value?","To migrate your customer data from Smile.io to Joy and retain the rewards points value, please provide the customer data file you've obtained from Smile.io. Our tech team will assist you with the migration process. Once completed, we can also share clearer instructions if needed."
"points","","How do I edit how many points someone earns per dollar spent?","To edit how many points someone earns per dollar spent, go to **Reward Programs > Earning program > Place an order**. Choose **The amount your customer has spent** and adjust the value below."
"points","","Is there a way to make points expire one year after earning them?","Yes, you can set points to expire one year after earning them by going to **Reward program > Points expiration** to configure this condition."
"widget","","Why is the image I replaced in the on-site content not updating?","The mechanism is that the widget will directly use the images embedded in the app. If you want to use the new image in the on-site content, the old image has been removed, and the redemption block will now use the image from the on-site content."
"rewards","","Will the write review feature only push notifications to customers who have made a purchase?","Yes, the write review feature is designed to encourage customers who have made a purchase to leave reviews, rather than pushing notifications to all customers."
"rewards","","How can I set up a redirect to the review page for customers who have purchased but not reviewed?","Currently, we do not have the capability to track which customers have purchased but not reviewed, as we only receive data from the review app to award points. Therefore, setting up a specific redirect for this purpose is not feasible at this time."
"birthday","","Why can't the customer redeem their birthday discount?","The customer should be eligible to redeem their birthday discount since they updated their birthday on February 24 and their actual birthday is on March 2. The coupon should have been received at the beginning of March, but if they are unable to redeem it, we can manually trigger the reward from the backend."
"birthday","","Can you manually trigger the birthday reward for a customer?","Yes, we can manually trigger the birthday reward for a customer if they are eligible but unable to redeem it. Please provide the customer's email, and we will assist you with this request."
"widget","","Why isn't the text on my 'View More' button displayed in the center of the button?","The technical team has successfully adjusted the text position for the 'See more' button, and it is now perfectly centered within the button for a cleaner and more professional look."
"integration","","How can I connect Joy with our affiliate marketing?","Joy Loyalty does not integrate with GOAFFPRO, the affiliate marketing app you are using, so you may need to set up a custom program to connect them."
"rewards","","Could you please place these two newly created cashback promotions in the highlighted areas?","Unfortunately, we cannot push those programs to that specific location. However, you can move them to the top in the 'Ways to Earn' section by adjusting the order of the programs in Onsite Content > Widget > Loyalty widget > Display."
"integration","","What are the requirements for using the 'Write Review' feature with Judge.me?","To use the 'Write Review' feature with Judge.me, you need to be on their Awesome plan. Make sure your integration with Judge.me is properly connected to avoid any issues."
"bug","","Why am I still seeing prompts after upgrading to Judge.me's Awesome plan?","If you're still seeing prompts after upgrading, it may indicate that the integration with Judge.me is not properly connected. Try disconnecting and then reconnecting the integration to resolve the issue."
"bug","","Why are customers receiving points multiple times for the same order?","The issue with customers receiving points multiple times for the same order was identified as a display error. Our team has confirmed that the logic is now functioning correctly, and any previous issues have been resolved. If you notice any further discrepancies, please let us know."
"points","","Is our program set to allow points for multiple Facebook shares?","Yes, the program allows customers to earn points for Facebook shares once per week. The customer's activity has been verified, and they shared the links more than one week apart, which is compliant with the program's rules."
"birthday","","Are birthday points awarded as soon as the customer enters their birthday?","Birthday points are awarded based on the customer's submission date. In this case, the customer submitted their birthday more than 30 days ago, so receiving the birthday reward was correct. However, there was an issue with the app displaying the wrong birthday update date, which our team is working to fix."
"points","","How to add an option for customers to receive points from an item order?","To create a bonus program that allows customers to earn points from purchasing a specific product, you will need to upgrade to the Advanced plan. This plan includes our Rule Engine function, which enables you to create multiple rules for the point-earning program based on purchases."
"widget","","What translation fields do I need to be careful with when using only the referral program?","You just need to translate the Referral section. I have translated all the referral labels into French for you. Please refresh your store and double-check the translations."
"billing","","Do you have any active discount codes at the moment?","I will need to check with our Sales team regarding this. Please let me know which subscription plan you'd like to use for more details."
"vip","","How do I add someone to my VIP tier using tags?","Currently, our app does not support automatically assigning VIP tiers based on Shopify customer tags. VIP tiers are determined by conditions set in your tier program, such as total points or total spend. As a workaround, you can adjust the tier conditions or manually update customers as needed."
"widget","","Is it possible to have a widget under the price of a product that tells the customer how many points they will earn?","Yes, you can use the 'Point Calculator' feature, which can be added to product pages to display the potential points customers can earn by purchasing an item. You can find this feature in the Onsite section under Product page, and detailed documentation is available for installation."
"vip","","Can you tell me if my membership VIP tiers are set up and working correctly?","The CS team is currently checking on the setup and functionality of your VIP tiers. They will provide updates once they have more information."
"points","","Why isn't the customer laxleaves@gmail.com getting points for their orders?","Points are only awarded for orders placed through the online store. Please confirm if this customer's order was placed via the online store or through POS. Additionally, granting access to your Shopify Orders section will help us investigate further."
"other","","Can you help me design an email campaign to promote my loyalty reward program?","While our team primarily supports app setup and integrations, we can suggest that your email campaign clearly explains the loyalty program and its benefits, highlights any incentives, and includes a strong call-to-action. If you're using email platforms like Klaviyo or Mailchimp, you can integrate them with Joy to personalize and automate your campaigns, syncing loyalty data and segmenting customers based on their loyalty status."
"points","","Why are some customers not earning loyalty points even though they have placed an order?","The reward program may not be enabled, or it could be in Sandbox mode, which prevents points from being awarded for purchases. Ensure the reward program is activated and not in test mode to allow customers to earn points."
"points","","Can I choose a date from which loyalty points will be tracked, such as including all orders placed in the last 9 months?","Yes, you can sync points for orders placed in the last 9 months. Once confirmed, we can help you import and add points for those past orders."
"billing","","Why are some customers not receiving their discounts?","There may be several reasons why customers are not receiving their discounts. It's important to check if the discount program is active, if the customers meet the eligibility criteria, and if there are any conflicting discounts. In this case, a test was conducted, and it was confirmed that the Joy discount was not applied after adding the necessary tag for the Legacy discount."
